POLY_,POLY_ID,AREA,PERIMETER,OPPR,X,Y,KOORDH,POSTNAVN,OPPDATDATO,MALEMETODE,NOYAKTIGHE,SYNBARHET,H_MALEMETO,H_NOYAKTIG,MAX_AVVIK,OBJTYPE,,POSTNR,KOMM,ID,Lat,Long
964,4715,6238170.577,15492.94272,4,-34608.89,6556018.4,17.4,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4323,1102,1,58.953037,5.63539
965,4723,168354281.4,62098.37682,4,-21455.28,6561510.84,1.93,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4308,1102,1,58.953037,5.63539
966,4728,16075236.33,21069.70252,4,-37895.54,6553901.94,17.4,KLEPP STASJON,,55,1500,0,0,0,0,Postomr�de,,4353,1120,1,58.953037,5.63539
967,4732,22387208.06,22870.98193,4,-33970.48,6552039.18,45.4,KVERNALAND,,55,1500,0,0,0,0,Postomr�de,,4355,1121,1,58.953037,5.63539
968,4736,90828207.53,53478.94001,4,-32468.14,6539654.39,0,UNDHEIM,,55,1500,0,0,0,0,Postomr�de,,4342,1121,1,58.953037,5.63539
969,4745,424225794.4,106822.0535,4,-7270.91,6501651.28,111.65,HAUGE I DALANE,,55,1500,0,0,0,0,Postomr�de,,4380,1111,1,58.953037,5.63539
970,4751,25265163.28,25817.46276,4,-37375.86,6560526.7,10.18,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4312,1102,1,58.953037,5.63539
971,4756,11072597.69,17863.12864,4,-40804,6560572,3.76,TJELTA,,55,1500,0,0,0,0,Postomr�de,,4054,1124,1,58.953037,5.63539
972,4761,76734288.79,47823.12352,4,-44270.44,6563852.85,0,R�GE,,55,1500,0,0,0,0,Postomr�de,,4053,1124,1,58.953037,5.63539
973,4764,4994472.853,13383.66042,4,-34470.93,6563679.56,23.85,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4313,1102,1,58.953037,5.63539
974,4769,2220161.177,8909.95092,4,-37523.3,6565084.69,0,SOLA,,55,1500,0,0,0,0,Postomr�de,,4050,1124,1,58.953037,5.63539
975,4794,2110095.99,8905.82883,4,-37174.28,6577865.18,0,RANDABERG,01.10.2016,55,1500,0,0,0,0,Postomr�de,,4070,1127,1,58.953037,5.63539
976,4799,12991211.01,15071.5841,4,-33646,6580758,0,VESTRE �M�Y,,55,1500,0,0,0,0,Postomr�de,,4152,1142,1,58.953037,5.63539
977,4804,14460052.35,16878.92908,4,-30016,6564576.8,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4329,1102,1,58.953037,5.63539
