POLY_,POLY_ID,AREA,PERIMETER,OPPR,X,Y,KOORDH,POSTNAVN,OPPDATDATO,MALEMETODE,NOYAKTIGHE,SYNBARHET,H_MALEMETO,H_NOYAKTIG,MAX_AVVIK,OBJTYPE,POSTNR,KOMM,ID,Lat,Long
948,4648,1950738.77040,11505.65150,4,-33398.93000,6560111.04000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4306,1102,1,59.28772,5.11688
949,4651,1225712.67992,6560.21114,4,-34118.16000,6560011.98000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4319,1102,1,59.28772,5.11688
950,4655,1255983.64874,8038.68962,4,-31960.87000,6559560.60000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4326,1102,1,59.28772,5.11688
951,4662,930686.69478,5047.71536,4,-33339.96000,6563745.20000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4314,1102,1,59.28772,5.11688
952,4668,1930816.58739,6494.39114,4,-32453.48000,6563258.34000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4315,1102,1,59.28772,5.11688
953,4670,12058717.25641,18599.48869,4,-26835.56000,6570433.25000,0.00000,HOMMERS�K,,55,1500,0,0,0,0,Postomr�de,4310,1102,1,59.28772,5.11688
954,4674,1831934.27220,6660.45798,4,-33326.93000,6556716.77000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4324,1102,1,59.28772,5.11688
955,4678,2762868.11635,8387.30536,4,-32900.97000,6558745.69000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4325,1102,1,59.28772,5.11688
956,4682,951944.13083,5774.59983,4,-34214.41000,6561678.62000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4316,1102,1,59.28772,5.11688
957,4687,1581986.83247,8402.72286,4,-32970.97000,6561574.93000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4307,1102,1,59.28772,5.11688
958,4689,911709.24954,6900.80514,4,-33672.96000,6561738.82000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4317,1102,1,59.28772,5.11688
959,4694,4379445.10332,12432.44702,4,-36195.99000,6556421.37000,11.20000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4322,1102,1,59.28772,5.11688
960,4698,1515918.23392,6078.43082,4,-32113.22000,6561341.41000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4328,1102,1,59.28772,5.11688
961,4701,927163.86595,7023.38943,4,-32197.92000,6560274.54000,0.00000,SANDNES,,82,0,0,0,0,0,Postomr�de,4327,1102,1,59.28772,5.11688
962,4704,4993852.19986,12154.59605,4,-30275.55000,6561222.45000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4309,1102,1,59.28772,5.11688
963,4710,133047778.83932,58213.86458,4,-43785.12000,6539684.63000,0.18000,N�RB�,,55,1500,0,0,0,0,Postomr�de,4365,1119,1,59.28772,5.11688
964,4715,6238170.57727,15492.94272,4,-34608.89000,6556018.40000,17.40000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4323,1102,1,59.28772,5.11688
965,4723,168354281.41785,62098.37682,4,-21455.28000,6561510.84000,1.93000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4308,1102,1,59.28772,5.11688
966,4728,16075236.32703,21069.70252,4,-37895.54000,6553901.94000,17.40000,KLEPP STASJON,,55,1500,0,0,0,0,Postomr�de,4353,1120,1,59.28772,5.11688
967,4732,22387208.06190,22870.98193,4,-33970.48000,6552039.18000,45.40000,KVERNALAND,,55,1500,0,0,0,0,Postomr�de,4355,1121,1,59.28772,5.11688
968,4736,90828207.52528,53478.94001,4,-32468.14000,6539654.39000,0.00000,UNDHEIM,,55,1500,0,0,0,0,Postomr�de,4342,1121,1,59.28772,5.11688
969,4745,424225794.43857,106822.05348,4,-7270.91000,6501651.28000,111.65000,HAUGE I DALANE,,55,1500,0,0,0,0,Postomr�de,4380,1111,1,59.28772,5.11688
970,4751,25265163.27777,25817.46276,4,-37375.86000,6560526.70000,10.18000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4312,1102,1,59.28772,5.11688
971,4756,11072597.68613,17863.12864,4,-40804.00000,6560572.00000,3.76000,TJELTA,,55,1500,0,0,0,0,Postomr�de,4054,1124,1,59.28772,5.11688
972,4761,76734288.78799,47823.12352,4,-44270.44000,6563852.85000,0.00000,R�GE,,55,1500,0,0,0,0,Postomr�de,4053,1124,1,59.28772,5.11688
973,4764,4994472.85315,13383.66042,4,-34470.93000,6563679.56000,23.85000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4313,1102,1,59.28772,5.11688
974,4769,2220161.17670,8909.95092,4,-37523.30000,6565084.69000,0.00000,SOLA,,55,1500,0,0,0,0,Postomr�de,4050,1124,1,59.28772,5.11688
975,4794,2110095.98972,8905.82883,4,-37174.28000,6577865.18000,0.00000,RANDABERG,01.10.2016,55,1500,0,0,0,0,Postomr�de,4070,1127,1,59.28772,5.11688
976,4799,12991211.00615,15071.58410,4,-33646.00000,6580758.00000,0.00000,VESTRE �M�Y,,55,1500,0,0,0,0,Postomr�de,4152,1142,1,59.28772,5.11688
977,4804,14460052.34595,16878.92908,4,-30016.00000,6564576.80000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4329,1102,1,59.28772,5.11688
978,4809,6137300.69807,12478.70864,4,-36234.31000,6567706.27000,16.32000,R�YNEBERG,,55,1500,0,0,0,0,Postomr�de,4052,1124,1,59.28772,5.11688
979,4815,106369701.36737,54112.75493,4,-48658.46000,6569189.95000,0.00000,TANANGER,,55,1500,0,0,0,0,Postomr�de,4056,1124,1,59.28772,5.11688
980,4819,2828650.96725,6951.90185,4,-28386.21000,6575563.35000,0.00000,VASS�Y,,0,0,0,0,0,0,Postomr�de,4076,1103,1,59.28772,5.11688
981,4826,1711989.63263,7877.14095,4,-35190.00000,6572428.00000,0.00000,HAFRSFJORD,,0,0,0,0,0,0,Postomr�de,4042,1103,1,59.28772,5.11688
982,4832,2823984.08887,10605.34189,4,-32194.32000,6570074.00000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4017,1103,1,59.28772,5.11688
983,4845,521291.72948,4999.86992,4,-32875.49000,6574080.99000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4024,1103,1,59.28772,5.11688
984,4848,805166.17111,4333.38512,4,-34399.43000,6576497.54000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4028,1103,1,59.28772,5.11688
985,4852,13431330.04205,14005.82395,4,-29692.82000,6582115.60000,0.00000,AUSTRE �M�Y,,0,0,0,0,0,0,Postomr�de,4154,1103,1,59.28772,5.11688
986,4859,2483916.84821,8548.58904,4,-34151.06000,6573641.24000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4023,1103,1,59.28772,5.11688
987,4864,326692.15489,3944.53273,4,-32406.27000,6573689.35000,0.00000,STAVANGER,,82,0,0,0,0,0,Postomr�de,4008,1103,1,59.28772,5.11688
988,4868,1372863.17728,5722.11431,4,-34490.42000,6572791.40000,0.00000,STAVANGER,,82,0,0,0,0,0,Postomr�de,4022,1103,1,59.28772,5.11688
989,4872,1272538.71368,6216.52818,4,-32940.18000,6573022.34000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4009,1103,1,59.28772,5.11688
990,4877,321266.76822,3897.10275,4,-31987.16000,6573691.65000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4005,1103,1,59.28772,5.11688
991,4880,336707.47108,2742.79232,4,-31823.91000,6574083.18000,0.00000,STAVANGER,,0,0,0,0,0,0,Postomr�de,4006,1103,1,59.28772,5.11688
